Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
28/05/2020,6:50:12,193.684,0,4.17,17.5,present ,11.4,43.2,
28/05/2020,7:00:13,193.683,0,4.17,17.4,present ,11.43,42.6,
28/05/2020,7:10:12,193.683,0,4.17,17.5,present ,11.4,42.6,
28/05/2020,7:20:12,193.683,0,4.17,17.5,present ,11.4,43.2,
28/05/2020,7:30:12,193.684,0,4.18,17.7,present ,11.4,43.2,
28/05/2020,7:40:13,193.683,0,4.18,17.79,present ,11.4,42.6,
28/05/2020,7:50:13,193.684,0,4.18,17.7,present ,11.4,42.6,
28/05/2020,8:00:13,193.683,0,4.18,17.7,present ,11.4,42.6,
28/05/2020,8:10:13,193.684,0,4.18,18,present ,11.4,43.2,
28/05/2020,8:20:13,193.683,0,4.19,19,present ,11.4,43.5,
28/05/2020,8:30:13,193.684,0,4.19,19.29,present ,11.4,42.9,
28/05/2020,8:40:13,193.683,0,4.19,19.1,present ,11.4,42.9,
28/05/2020,8:50:13,193.683,0,4.19,19.2,present ,11.4,42.9,
28/05/2020,9:00:13,193.683,0,4.19,19.29,present ,11.4,43.2,
28/05/2020,9:10:13,193.683,0,4.19,19.29,present ,11.4,42.6,
28/05/2020,9:20:12,193.684,0,4.19,19.1,present ,11.4,43.2,
28/05/2020,9:30:12,193.683,0,4.19,19.1,present ,11.4,43.2,
28/05/2020,9:40:12,193.684,0,4.2,19.1,present ,11.4,42.9,
28/05/2020,9:50:12,193.683,-0.001,4.2,19.1,present ,11.4,42.6,
